# Cluster-median assignment
# Andreu Meca and Jan Leyva

# Number of points
param m := 167;

# Matrix of Euclidean distance
param d :	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167:=
1	0	9530.00936296031	12593.3920449752	5504.58429050026	22150.0201564644	20738.5652984562	6057.74312376776	68473.5733683928	65640.284858498	16159.9581149622	36615.248715158	46730.5795676747	902.708790068351	21757.0701042688	16427.4552541841	62200.6859510193	7721.69844777257	310.777233588091	5352.82784563449	4279.09228790925	9559.12819549403	13754.3492294215	17623.125732533	90962.6575963126	15879.7864614631	194.018570130685	954.214045403045	992.636677406861	1364.79526649401	64314.1415998189	5313.99360356168	772.209288700645	500.057249944666	22826.4136426884	9356.46723650427	11487.4936088774	310.705603246689	1081.02230776654	4422.91609924945	14461.3033590913	1338.90273209072	23793.4021585925	46637.3124607683	34686.1274503703	75255.7090925724	11256.824363124	9236.4133260638	8960.22849156203	6525.23120624856	38058.1127920579	218.378596326044	26710.7745318564	6875.57281048075	62735.1917835713	56264.8006003615	16910.1770267887	57.6462757783286	5964.19557885033	59684.2459345887	1724.42123550032	39833.556393717	12402.7701814465	5887.68098344142	454.909354218569	233.723959214949	5172.98908895471	207.849702910541	25506.3599656918	58620.0645086428	3068.98347283845	7677.87986043167	17796.8446156303	12408.3710736878	68816.0208033033	43285.5006133758	52055.8230281551	8018.74654740031	58692.2703799572	8917.20818089633	21458.6365562032	1016.21841150851	996.918516228884	87276.5283651923	1293.6799887659	2573.87210003398	20924.8210905694	17789.2068527022	1042.34331884141	989.71953339205	31916.2492426263	23825.8705096325	145393.828703837	11142.9145440599	276.988160597364	619.603686776206	22420.5540707108	11638.3826856656	323.383171073161	35505.4807926983	1927.84487218817	16985.9401409584	3040.34361062474	2678.61122443453	6799.8369498099	14570.1642882906	5629.06420398196	743.424803415472	2271.62687385148	8719.52872215262	405.591262507247	69929.3957912452	47616.6185400177	867.272991367514	4176.77038499844	112028.391613996	50114.0460798955	2861.01242315451	16560.6639739709	6619.45951283033	9982.35882117938	4522.94468299629	24782.9420836837	35536.0141987207	149405.289506381	18887.371846201	25050.8215010584	276.407552156031	5029.08492680328	50210.9085696558	764.215241713136	12762.1962400417	22560.5942506299	448.373545160729	88752.0111929708	30074.1155362367	37355.1279168191	801.961618782345	13047.2065507696	37905.5391495901	45497.7717656163	7703.08409618439	10608.6955735273	2097.13570185622	15582.4167913175	69617.7417628557	96534.97600545	563.779270932635	530.485608873815	13411.2482210726	3222.04896909129	428.649293323419	4754.49291323481	10007.6744298064	20319.6607804527	9689.80463989514	88.6227924031585	7024.86082310532	69293.9628039084	54436.1902317291	71283.6893408061	20240.2770688491	2906.83063507319	2914.08723344225	20799.1735004863	3140.6515442394	3129.06513161501	2003.48748050881
2	9530.00936296031	0	3154.97147796581	4290.40427753221	12903.9813874676	11327.3720811826	3526.07577950018	60333.8676051823	57150.7727700188	6659.12238944943	28672.6565986828	37229.9581145346	8641.2649251394	13771.3534231131	6918.37905479953	53711.8671756862	2177.16285018421	9242.63225930224	4212.36303640183	5258.2025393876	591.265015031331	4277.38657233856	8909.33902152991	81433.7848087792	6359.59145553654	9696.27108090184	10483.5464799264	8552.20550155209	8205.04829726458	56001.4829382748	4399.33476691205	10277.0313201008	9080.72269174896	13634.0051037389	651.144962952013	2496.1304871741	9639.319462839	10593.4610432726	5195.74378187463	5407.53518422827	8210.04572235881	14605.0729602066	37829.8201092692	25479.0297435383	67223.1253440841	1891.23235069976	857.416688923445	1572.59735462634	3004.98118123152	28563.4970815822	9743.41489074658	17433.5492898606	2759.08667337984	54420.8850995821	47846.5329297804	7574.87249687339	9477.68889077571	3577.2441377562	51104.0936003057	7812.31501081608	31137.8576652082	3707.55443569837	3644.86519723295	9901.96513226878	9746.49413281514	4451.29685928095	9594.85371167505	16131.4321842655	50145.0552688609	6496.18705024553	1889.01886603131	8283.55179005694	2951.83439948788	60273.0112677464	34796.0642086174	43405.5511047165	2127.34793173723	50576.9673682629	650.273902803016	11936.4162619272	8515.22722985124	9067.86759996834	77776.1954933949	8251.97720478755	7000.72389514907	11644.8280666762	8388.48851777137	8533.56724357795	10507.1747777835	22387.2622027348	14427.553185358	136907.071281726	1620.58958629945	9801.03871427808	10132.4805830502	12891.5718610606	3229.68170032968	9214.51380397613	26390.7359825312	7604.94660778978	7522.53989085099	7066.57222065031	6855.09816195217	2789.62652942409	5085.20629758518	3911.24553699486	10257.7899187885	7317.56187486605	1936.00643373013	9145.80629336018	61468.9747277823	39117.6228035467	10387.7984461097	5371.73796794131	104083.202579883	40584.3790335231	6768.55055800149	7137.04412620052	2926.88839913653	981.176035513845	5010.09964600395	15395.4289722126	26607.8797280369	139939.950964588	9373.52369627109	15532.8307540799	9778.61068105621	4822.46651222749	40681.2252702207	8794.78186324141	3234.43707571778	13108.6467278875	9972.69269049237	79388.3182569031	20808.019272387	28386.0441094158	9083.8304420853	4008.78483462674	28739.8607531557	36780.092810852	1976.59279252062	2255.81147392438	7442.42386277631	6320.84776773566	61391.1107163488	88495.3642303955	8968.46141174728	9002.96217102398	3905.35833851674	8532.95919371208	9945.33908223121	5248.75962110203	498.835248464973	10995.8379937593	375.801317631183	9580.78140246864	2518.15864849695	59887.4855383048	45969.1863098097	62550.0559644816	11175.6471719787	6643.39331832761	7451.73410313182	12097.5516558838	6439.89715033469	6449.21488412005	7538.41362387782
3	12593.3920449752	3154.97147796581	0	7444.18739952335	10453.5435088777	8676.04751890706	6664.85548162065	58336.2364766036	54967.1099737827	3576.9280465226	26959.4806929121	34302.2411572399	11696.0394321088	12424.5427726711	3852.37042374922	51536.9090705357	5293.20281166747	12314.3507151446	7241.14181857929	8316.71455413067	3355.93248529956	2036.77388135693	7302.12273092938	78417.6619730771	3563.00724147142	12765.5270300481	13547.1480000692	11606.7166105856	11293.4332018459	53920.5630538254	7550.46845852222	13350.694006372	12158.7454288718	11229.1297567136	3553.9255956696	2829.41478016607	12721.3052709967	13666.7143747175	8327.12107631843	3943.78338861725	11291.5664608297	12182.0619008962	35508.9534504093	22912.3510891542	65266.4850329248	2165.51816796299	3747.99291353237	3756.71118283296	6102.9613444349	25656.2735446583	12806.9903733426	14864.6885570431	5912.35145093163	52343.295344292	45729.8904202711	5234.09132249545	12540.3980245534	6693.24642691754	48882.2449827913	10890.915886743	28928.9302814737	3552.63057356408	6747.29599865342	12981.2973401523	12814.9385571597	7591.13374921325	12667.5960831696	13458.3380824801	47988.0164181747	9530.86315683597	4922.03239545301	5221.25052728431	215.530241497568	58051.9475906269	32697.1009664652	41164.7994397649	5170.31161989079	48621.1366868864	3708.08802165393	9011.85927286311	11584.4422316648	12183.5293817241	74833.2420480067	11305.4222445201	10032.8350389885	9186.16606320758	5861.49369577452	11619.2215227613	13578.1717461315	19358.046644584	11742.3385891208	134650.837706302	1583.81218597549	12860.7993591292	13203.9441128946	9916.11927536283	3761.30492716439	12281.473662237	23899.7529409406	10667.1892838481	4891.38728017591	10217.458853779	9934.86854049916	5794.01528354905	2611.94644704332	7022.89512415373	13329.3438665766	10345.7554195216	4743.27073252202	12201.5862888214	59292.7632540094	36988.5617521027	13457.347982612	8473.3770535523	102121.476374747	37564.5620093682	9775.58866272399	4637.74924911499	6053.99792750396	3154.80761566991	8077.34547504452	12713.5270321767	24265.4888568964	137037.369851667	6516.9358480637	12604.1505284966	12849.1889883889	7977.11764060874	37660.4104796963	11873.9765852098	1023.79431061344	10352.4085414082	13035.5392421811	76597.5554568959	18217.0210323638	25999.2772129357	12188.6206420853	3120.50917237698	26192.040119446	34523.7221858777	4894.30338920214	3653.65829272525	10525.3353898845	4273.43004343245	59344.2931988277	86502.2902202202	12031.4112190872	12063.7841464857	910.649402044741	11683.0761963192	13014.4399515478	8403.45887033032	2656.93459805343	8494.97359361536	3120.7333587191	12648.7426961119	5580.44864235843	57065.1143215703	43830.5379239521	60212.3587816848	9005.8132247146	9688.60709757714	10605.2130807291	10256.8612517562	9466.55880058852	9476.28396451431	10622.2057642626
4	5504.58429050026	4290.40427753221	7444.18739952335	0	16647.3888007466	15263.8541108871	911.908548229116	63244.8787132198	60297.9746239239	10921.599750469	31407.5975251645	41283.0568030841	4674.20476128768	16461.1746901287	11173.065650458	56856.6630268403	2257.67016403095	5199.6186535088	1527.64148971907	1715.51463159666	4186.39479013732	8347.81898803514	12147.373831194	85566.3177529732	10505.4872747849	5648.52307188938	6434.76578326239	4589.87659549676	4140.37247398508	59025.7187465703	266.117118587955	6203.5380497745	5021.67224221396	17322.4450376479	3979.20344554033	6001.10288397984	5556.45035217829	6515.76169317312	1121.45722967931	8958.69485279835	4168.76102360028	18289.4987730799	41199.614571068	29183.0924148118	70068.2609831219	5843.8704261721	3828.26457331953	4289.10768329368	1585.8557340159	32608.5500495294	5712.4219069498	21207.9531518406	1537.21995429701	57445.1804476088	50937.8768348913	11426.1931776122	5455.88051943344	1067.48572855409	54312.4446591874	3800.16002133828	34415.9664892043	6899.97195267246	1132.79979892497	5820.57625906195	5700.01471533188	529.235276287085	5537.46081350569	20015.5448631918	53277.9019559913	2784.51695192462	2705.27648823143	12528.288225829	7240.96063175782	63459.407515987	37925.2150742045	46660.222992549	2526.32322419581	53464.0957200095	3768.04347359328	16067.2785121121	4505.6555683077	4894.20891454607	81822.3227592765	4308.19078584296	3231.97088038656	15425.3123053507	12319.0293019983	4467.76936321571	6438.14983231466	26565.3436653722	18342.2662353041	140070.766921564	5895.69324576093	5779.33055928145	6069.09725120265	17053.6992633596	6138.90683407432	5186.18455556041	30009.2368762408	3664.59300392887	11546.662432327	2791.29762983694	2902.60157150252	2123.91220746056	9161.93076204768	937.178482156829	6191.40835506035	3531.31126056657	3216.98189890601	5156.23554984103	64597.9662792887	42258.5128773087	6324.07966668317	1494.91880151101	106887.312399833	44734.5844411979	3131.97175178832	11103.773717385	1502.48475137391	4560.16693449313	1512.46731828787	19295.6212327564	30065.9678162028	143925.351008995	13487.1553925578	19642.9950177609	5726.33563256449	545.887350202504	44832.4546945328	4742.69929922707	7437.76139040206	17098.4070936025	5935.72440997914	83250.0623413521	24570.2989873213	31879.4901160513	4944.37733238474	7548.25079851102	32405.5737736393	40080.2642213485	2907.44708171963	5105.76926994247	3433.12693543041	10091.3817980823	64360.6125220842	91354.7371132079	4962.80586959971	5002.01935788604	8176.81716435762	4270.6489368713	5892.73190865003	977.736501256289	4788.10684768927	14826.0856471251	4365.72804409528	5540.52791364585	2111.35676634191	63798.8517820762	49093.3585197133	65875.1651084399	14738.8704262082	2864.77008268843	3166.65246733659	15339.6316897585	2774.37732837879	2778.87080963953	3520.02507712027
5	22150.0201564644	12903.9813874676	10453.5435088777	16647.3888007466	0	2047.47802704259	16138.3363819543	47997.478743835	44533.3861281934	7458.19340771536	17129.5835531006	24860.738360683	21304.1159106273	5664.72127374144	7186.34641769454	41107.4644533542	14440.2318300604	21846.1561769221	17035.3893587535	18008.2241957699	12718.8768432725	8683.62392129256	4962.47967028581	69248.8401641966	6925.77044956813	22295.5563138238	23081.379048628	21217.8423640577	20786.6729728262	43532.8882031582	16836.6484560525	22848.675031943	21668.8972358001	803.38920123852	12908.0617269984	10679.4268845602	22201.375236175	23159.6172877154	17732.1058273435	7689.15437829299	20812.9061483227	1729.00808187206	25055.4957241055	12578.6634334054	54950.9916692734	11033.4983425224	12992.1075111307	14045.1533774347	15778.490492795	16233.7980648912	22358.1755719866	4560.82433315392	15317.5827954022	41958.849970999	35330.2104173216	5333.07641454098	22100.8402588278	16275.2289303271	38439.7156541921	20436.3162744197	18506.7980291834	9760.43684601827	16374.4575833793	22465.4698763755	22346.9915237973	16988.0524986435	22184.2659797559	3504.22831677833	37567.4270804835	19250.4736234059	14775.3383950156	6239.76505642106	10554.1826024304	47607.3541224649	22331.1153968055	30720.4509268761	14132.7368162992	38328.7401947474	13553.4982253906	3463.82385074645	21145.2343151543	21510.3466967617	65310.3817740419	20927.3763463343	19746.8178258225	1269.34265879978	4594.16386966527	21114.2409679634	23082.8583954968	11068.5186175577	2118.8292969363	124197.977083141	11448.7089470676	22424.7174366194	22715.2467172162	3915.61093557286	10539.4014406048	21831.5884069595	13493.6461561811	20276.3246806192	5565.77612044258	19310.7701252551	19506.7409452362	15667.9572059169	7921.87609244174	16602.3251362471	22837.2555499245	20062.7332946271	13430.9814102321	21794.5244670613	48860.0132818575	26593.467060761	22970.0625195928	18013.7804444048	91782.3576494657	28613.3406241467	19555.8321752219	5837.18615121095	15632.4934654001	12251.6967447824	17753.1234755934	2877.17700218268	13812.2643349914	127324.701154758	4403.46912889271	4503.32178800642	22372.7821546181	17135.1784524021	28715.0942065918	21388.7440621333	9835.56081005157	2015.16773798665	22582.7518539506	66603.2800057633	7928.24258581833	15549.2209439833	21577.035019756	9105.55998996706	15835.9727767861	24078.8407160519	14879.7354215053	11542.8571389506	20065.4086308918	6601.40862325778	48972.2191121785	76148.396553952	21603.5086895753	21642.2909799951	9548.40753089808	20317.7198043071	22539.5901683041	17454.6429575374	12501.2752272585	1961.25144271599	12654.6926652966	22187.0046320012	15363.4325119313	47165.0905498512	33421.5688881879	49760.9073114774	2132.1633681936	19376.2191443274	19607.7079848632	3064.85833488089	19207.8008734328	19216.3137067817	20155.6978322949
6	20738.5652984562	11327.3720811826	8676.04751890706	15263.8541108871	2047.47802704259	0	14686.6329194385	49953.8736970651	46425.718417054	5495.81515244908	19175.5482229626	26032.5438256852	19872.8978912264	6996.18296011324	5216.04993952959	43006.1654282848	13021.252012392	20439.4653996278	15518.3543191853	16527.7053069115	11206.0654143489	7052.68220769785	4527.72602762382	70368.968535921	5113.637516702	20892.3044135527	21681.8454678486	19785.3210917954	19382.4460484395	45465.6252858318	15438.0437410719	21457.6609906863	20266.8135820717	2838.382732649	11403.5474924302	9264.1975224397	20811.0862422305	21771.9930536407	16319.1195349368	6403.19525544344	19401.5520424441	3681.98667754259	26900.9128269635	14236.6913890716	56914.9678213268	9503.41773485845	11510.031546467	12357.4578703622	14274.9765451685	17360.7439500731	20949.5094820141	6191.06951656084	13866.3981747444	43894.0824045528	37257.8217716033	3843.70242143634	20688.045639765	14800.8364318823	40320.1291920958	19015.6235695341	20427.6711734524	8487.66873639504	14890.7938643758	21075.8250873101	20943.52540517	15566.8135312737	20783.8885686379	4808.33042081945	39476.7492103305	17773.5430749002	13214.8704068224	4203.56966849473	8796.54900528863	49481.4527920973	24287.6521166026	32600.2852175758	12739.9559890309	40305.0964573478	11973.1725160228	1964.64686931548	19725.7985425911	20155.0670167661	66562.3570269638	19489.8916851588	18275.3575181718	1136.88975203012	2950.76290149288	19712.2452976542	21691.5927246121	11645.3581262617	3101.11030132757	126038.489313582	9801.93783560169	21013.0199287622	21319.8116802632	2844.25226248775	9278.78224905857	20419.79748533	15232.9102442158	18837.4452407432	3820.06102960265	17990.3843260195	18071.3853939192	14114.8305806537	6253.65155729923	15133.1195873259	21443.5404958074	18592.6255298923	12063.4827899418	20370.7584908286	50752.6203618986	28529.1404183493	21575.8311113384	16571.1913369022	93732.5448591974	29600.3545397273	18064.4005260931	4193.28118788457	14149.0435437445	10763.4369761398	16274.0497308035	4069.06686802324	15673.4427557661	128667.06486018	2379.5260068855	4657.16300867098	20971.8010068467	15769.6753563498	29700.1919555001	19983.4452905454	8159.08452525976	1872.2334915223	21176.564542723	68062.948013609	9542.16307133328	17372.2282696284	20206.4967879558	7746.88721691924	17516.0969243246	25961.5259164873	13288.2512955576	10201.0562355354	18642.9990532192	5191.01167945346	50912.5821491143	78093.4909949634	20184.2437439592	20221.4845073858	7766.95099573972	19114.1396507635	21139.3271405822	16117.7354364998	10895.3837330516	850.041992492136	11109.7556143588	20780.8055521462	13828.5301504334	48571.8922952085	35342.9356212179	51576.2713106198	2385.23572482889	17908.994293216	18311.9341070789	4093.45505059262	17724.7882038435	17733.5463335078	18735.8208222467
7	6057.74312376776	3526.07577950018	6664.85548162065	911.908548229116	16138.3363819543	14686.6329194385	0	63015.2830795708	60001.7932136764	10184.7723404546	31206.9917697153	40673.6729107376	5186.58622162336	16237.4346722012	10442.840577959	56560.2595073117	1715.41939714786	5762.40133510376	1136.13718581868	1886.5181902118	3504.41602542024	7699.84989670434	11762.5417526145	84920.4793076113	9835.6171229816	6216.37796376994	7006.06342155771	5098.89255263663	4711.5014626031	58763.8680110075	922.279119431254	6789.9190499511	5594.36164775651	16832.2777799679	3300.68244421598	5459.11222804995	6146.05147009037	7105.53362242727	1672.37970040698	8465.01403903148	4724.63175999522	17802.5891199942	40831.6013608931	28702.6728006838	69858.1068957712	5199.71415447255	3179.16687313237	3394.51952523803	677.39173050426	32001.1787971023	6269.62000558602	20696.4335982663	822.751929401161	57182.8561283543	50654.6596757999	10866.6273302458	6006.52786608037	276.473529574814	53996.9882908929	4333.4856534383	34070.8893684511	6452.61325512557	411.80505838456	6410.40461128105	6267.26300882433	927.676867592734	6112.05952124341	19464.4770647026	52983.790112848	3116.80815983631	1827.51798565401	11806.15913608	6466.95569250152	63152.7182643066	37624.9776890078	46328.6220413736	2060.67282973844	53237.9341603648	2960.07709285868	15412.2411205833	5042.77707081018	5547.5012017424	81219.3930131919	4803.48704581717	3609.98926304959	14901.4452519816	11736.4680355399	5041.58108318545	7021.94860648461	25890.0768099736	17777.9838854379	139778.403415323	5145.98276300175	6331.35784062155	6648.12585198098	16383.8550490584	5725.00396395787	5740.0653505765	29557.5503216465	4151.62565496939	10928.5388905481	3562.32426214496	3385.21608128639	1223.34014939064	8515.49977390249	494.548099599804	6772.86102355078	3925.25882196658	2785.10835548238	5685.42039940759	64308.023520692	41957.5319413968	6904.48100278202	1890.7264900914	106693.420342464	44077.312721196	3434.31756159632	10504.6638979127	623.126170031221	3925.43595293001	1632.51544403108	18737.8104055262	29664.2112008942	143351.234204766	12837.0273726695	19000.3269106876	6296.7962098903	1391.67492608327	44174.6216770557	5308.41553896578	6732.7066569925	16504.4040836513	6498.65123399549	82724.6668866404	24066.5451742299	31468.4138685047	5571.12199617117	7037.647416889	31939.969541393	39732.3144056167	2007.85147818369	4646.22873811534	3961.05030844093	9548.56041074604	64115.307887533	91144.2489219766	5500.49028740974	5537.32788145851	7431.31241408048	5128.34508750684	6464.42697151109	1846.20623483823	4019.04004861028	14284.444666015	3650.12510914961	6102.89506824425	1210.01261784055	63252.4228428612	48800.1929227801	65527.9729226814	14279.0801156486	3238.31766396964	3961.75889965556	14971.1087229667	3079.69899324593	3087.3318951447	4055.0658697349
8	68473.5733683928	60333.8676051823	58336.2364766036	63244.8787132198	47997.478743835	49953.8736970651	63015.2830795708	0	5601.75804104479	55444.5299170682	31858.3828536071	32889.2666409051	67769.1175654065	46785.8154986224	55167.4233464883	7912.44494410897	61332.8544868056	68167.2173200858	64080.5341022122	64869.8617552387	59999.6996259046	56415.2948844056	51425.2478427323	44872.6921271204	54889.9470635127	68571.6948302707	69289.883318641	67694.5746838663	67166.0217250665	4800.48599958611	63475.4145132518	69031.0588172969	67980.4670373818	47199.3469072684	60155.1029111838	57871.2436286701	68423.4159756967	69305.865454232	64359.0578632867	54936.8369035153	67222.1849139388	46287.1550079888	23604.6671037318	36545.6172817997	6989.79223154101	58458.8517977237	60174.0141297434	61691.5486338292	62849.0173733678	37569.9069300373	68655.4558836368	43982.1350940798	62249.2210511675	6240.6051528572	12820.9945718818	53102.9194091687	68433.7826022726	63220.37318134	10698.4309000123	66910.4704755151	29557.6669430486	56715.292237391	63344.4055715113	68666.8599872012	68620.8874271724	63699.11011515	68454.2701096181	45585.7799080335	10891.4673359929	66026.6435734991	62070.624818799	54103.1670566459	58409.0180752453	5651.08130561459	25667.3241957357	17834.1143488846	60967.1102258924	9782.07486299984	60961.7073462414	50421.5606079615	67568.4076174238	67617.2589714638	38326.1221969502	67443.6232978412	66473.3944793588	49238.3366389802	52519.3450012309	67462.8324245111	69252.1728308867	43757.9569262615	47188.7969001989	77098.3409808768	59094.758959898	68732.2956484666	68927.6746660956	49961.1630780027	57366.8062875349	68176.731151398	35281.1796256588	66838.013857489	53514.9291447765	65434.3638867003	66102.4214317793	62898.3551008186	55733.5972761254	63509.1249001735	69033.7802997578	66765.0842672992	60248.3125572032	68196.2974241336	4639.75096025207	21448.9101605912	69160.421051917	64732.5625129124	43787.6248478824	34608.4903888579	66371.3633305049	53709.0768854442	62647.7245358982	59499.8446670904	64624.5078381509	46291.95871607	34415.764889264	90231.3195214783	52324.0916859635	47519.9427465716	68633.4384388203	63625.6756828501	34621.1476625695	67733.325049769	57590.6154304115	48650.9482131347	68854.1994045017	32840.28591288	40940.8309862365	32889.4403564023	67750.5391418564	56325.5192371964	33483.6863774319	24236.1087424827	62256.5867595693	58468.8050801033	66570.456279579	54168.4812486632	1595.51222393764	28168.2053244759	67997.208663906	68040.1554251156	57450.7164278248	65803.5542587658	68786.6221495495	63806.4855285661	60018.7000867239	49944.4166458074	60020.2786176417	68483.811875187	62554.5387870794	24676.9207221399	14758.8080148131	9204.47849947091	49334.3484324551	66107.1319893373	65595.9865180358	48242.1242620274	66010.9669848385	66017.1541045179	66644.4597322413
9	65640.284858498	57150.7727700188	54967.1099737827	60297.9746239239	44533.3861281934	46425.718417054	60001.7932136764	5601.75804104479	0	51916.2347219284	29236.5910212843	27705.804838914	64897.0630916359	43883.9411541803	51632.8654359274	3441.79462077707	58298.6227213358	65331.6430917969	61034.1344174379	61877.0533335963	56856.104915681	53106.9729305108	48283.6904278139	41275.7800719008	51458.8695647091	65749.9720939566	66489.9338707508	64819.110620977	64307.8733764482	2687.58080480259	60521.8615065519	66234.4620421866	65145.2312661716	43747.260909364	57021.8866051146	54728.7746308524	65612.3447198959	66519.8314858344	61417.2553077321	51744.3562028879	64357.8067338479	42806.6753799036	19598.7562741468	32598.9173125105	11730.7774286896	55262.1481273222	57057.8788546469	58443.2088334539	59785.7190337545	32969.7456689889	65829.7891565237	40325.6335497657	59215.1066969865	3659.12459474546	9391.54408967207	49757.942133762	65598.0071295643	60192.1465788864	6132.80758939846	64028.4117374279	26039.5243545824	53609.9273161029	60311.108922757	65862.6501678255	65800.1255528987	60731.390110048	65632.7162922504	41889.4286380207	7020.60887435532	63064.9677562886	58939.8903510275	50501.6935496351	55055.6469273592	3247.93797848026	22376.8358226291	13832.7754734188	57942.2044036505	8200.44062516216	57789.6774093422	46722.8246197703	64704.1449971285	64823.1378725444	34873.7527018168	64556.6981005425	63527.7036156836	45793.8635817317	49110.4429570401	64614.3993516609	66460.556561006	39384.1569511034	43543.3455414289	79776.6618353667	55833.1834271708	65904.9976959039	66123.4930626907	46182.2577726051	54296.8293926087	65335.7896001836	31405.4425908198	63934.9824235739	50094.3598217177	62612.9610337076	63184.7245697568	59792.2782213791	52390.5086163253	60493.0099216266	66234.1083898687	63827.8149335858	57218.830047983	65342.6782728931	4327.00552642291	18044.7236460274	66363.2862239727	61773.0244106333	47581.748798561	29177.0574212957	63402.7370515819	50330.3965042828	59596.7701998889	56360.2839936754	61627.1428338097	42615.2058361523	30756.4007218263	89683.3989483651	48768.4946710083	43645.6892888917	65815.7842628623	60706.4278155151	29185.2454152861	64888.4116882765	54279.8357130451	45006.8595616242	66036.1007833218	30465.6107714595	37149.7205361815	29107.0897286516	64943.4847346391	53157.9250265307	29418.0599898424	20464.9052307947	59103.1093094896	55393.6256439241	63678.1234260465	50891.6129632098	5490.40388034979	31947.5298129698	65143.6223764454	65186.0060531428	54067.8893059596	63111.1847921466	65973.4117469694	60918.8248826534	56806.2777592887	46493.5088987277	56853.4509866969	65656.6551473034	59456.7036962764	19691.2606203764	11205.1984972159	6724.1354190631	46021.8692820111	63157.2481059883	62804.0021081292	45073.4423815391	63042.4393001451	63049.280259103	63756.5484732686
10	16159.9581149622	6659.12238944943	3576.9280465226	10921.599750469	7458.19340771536	5495.81515244908	10184.7723404546	55444.5299170682	51916.2347219284	0	24464.8812751155	30746.8475057073	15264.4084182526	10735.0656920384	296.584591268289	48498.4363165155	8704.17219639844	15878.2071766174	10810.2175001297	11881.2712329765	6745.70855190337	2896.64601688075	5867.23684761404	74840.9627161193	1287.56956174544	16330.3577256253	17114.0657458646	15175.0882312646	14850.4618293581	50961.0501358679	11046.9859712264	16914.2377871491	15720.1741943098	8260.01385010945	6952.27524185029	5393.42834236464	16281.8252652288	17230.6585195401	11854.1581503098	4023.72075783099	14851.3533171971	9158.33204766391	32376.5088762448	19612.2157525185	62402.5250684733	5181.52498762028	7119.30363237086	7318.04805268758	9650.24306406033	22112.9778376636	16373.669757829	11625.2471345822	9405.72013474307	49389.289682447	42753.4272325363	3132.05145054945	16107.1448973636	10232.2625526051	45807.3691554956	14451.7231474735	25923.3121740973	5310.72604632466	10293.7604055456	16542.8420032116	16380.0563982953	11109.0103768568	16230.803232383	10132.6060814854	44971.1722402709	13101.7244608699	8482.58029378771	1645.67628246465	3754.40950831301	54965.423016792	29777.3146090834	38088.2612731631	8521.04961632597	45784.9919417197	7250.23202081607	5501.86189803052	15148.8370460684	15725.470927808	71268.7928793101	14873.8972227038	13604.4602167818	6245.3538414252	3199.55509866328	15177.624736774	17142.9373405331	15781.4500745548	8430.04729184046	131500.851130615	5039.02574624633	16428.5124573306	16768.3616593936	6363.74685350104	5948.01684644181	15846.6712866982	20660.923749581	14232.8680171597	2279.88709657104	13709.7196119314	13494.7024500934	9363.18913215174	2287.38706713335	10564.8738175657	16893.7601608174	13918.1882595866	7977.48520873311	15770.0107239941	56242.9777973472	34024.0368760054	17022.3964759438	12021.2738533956	99225.5197136156	33987.9548816358	13350.1104804958	2445.3447297308	9584.56294930088	6425.22917727886	11639.2480105938	9389.09318873648	21160.70872663	133483.635105622	3154.14940493735	9069.55124104213	16413.8110429601	11453.9827983739	34083.7591953786	15435.1758799503	3508.27769507743	6989.81367125683	16602.1867229993	73095.3261561839	14922.8612168424	22843.6014926322	15737.9521677659	4481.41842438802	22894.6801695212	31451.4102032838	8468.02109323988	6422.27147772154	14084.2372922987	3213.20040819464	56407.246460663	83587.5478903253	15597.9226354772	15630.7986676412	2754.81441304734	15101.2731892859	16579.5199246875	11864.438305785	6169.08488060515	5539.88627707184	6556.19435619645	16214.020260592	9137.89653135653	53550.2773694539	40838.5143430194	57027.4475058273	6492.33415469523	13257.6932622073	14084.6941506532	8091.68537611294	13038.623230085	13048.3067118773	14180.7943321044
