# Cluster-median assignment
# Andreu Meca and Jan Leyva

# Number of points
param m := 73;

# Matrix of Euclidean distances
param d : 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73 :=
1	0.0000 	2046.4118 	4243.8462 	4849.8571 	1819.7083 	4136.9000 	3743.0625 	5370.3103 	6059.0417 	8439.1333 	727.0952 	1578.9091 	2251.7778 	10407.7429 	8086.1250 	2774.6154 	9346.6154 	16751.1429 	11959.6000 	18314.0000 	6390.9500 	15726.7742 	5648.0000 	11101.1379 	6400.8333 	5392.4500 	14384.7500 	6081.6176 	7651.7600 	10690.1053 	6905.8571 	4491.4615 	4551.0000 	3869.5833 	4956.9200 	5334.1053 	7893.1000 	15126.8889 	8521.7273 	3540.3333 	21.2310 	4318.5714 	9100.3333 	4361.4000 	4956.6400 	2359.6191 	1040.4091 	2251.1250 	4118.0000 	4321.4500 	7624.1429 	3198.4000 	3864.1579 	3229.0000 	6216.7500 	562.1000 	5131.3846 	4212.2500 	437.0000 	2491.6111 	4720.7619 	1251.1429 	3886.0000 	1431.0500 	274.8750 	1246.5000 	3136.4000 	367.7000 	893.6000 	1021.2000 	1824.0000 	2136.3333 	1361.0000 
2	2046.4118 	0.0000 	2197.4344 	2803.4454 	226.7034 	2090.4882 	1696.6507 	3323.8986 	4012.6299 	6392.7216 	2773.5070 	467.5027 	205.3660 	8361.3311 	6039.7132 	728.2036 	7300.2036 	14704.7311 	9913.1882 	16267.5882 	4344.5382 	13680.3624 	3601.5882 	9054.7262 	4354.4216 	3346.0382 	12338.3382 	4035.2059 	5605.3482 	8643.6935 	4859.4454 	2445.0498 	2504.5882 	1823.1716 	2910.5082 	3287.6935 	5846.6882 	13080.4771 	6475.3155 	1493.9216 	2067.6425 	2272.1597 	7053.9216 	2314.9882 	2910.2282 	313.2073 	1006.0027 	204.7132 	2071.5882 	2275.0382 	5577.7311 	1151.9882 	1817.7461 	1182.5882 	4170.3382 	1484.3118 	3084.9729 	2165.8382 	2483.4118 	445.1994 	2674.3501 	795.2689 	1839.5882 	615.3618 	1771.5368 	3292.9118 	1089.9882 	2414.1118 	2940.0118 	3067.6118 	3870.4118 	4182.7451 	3407.4118 
3	4243.8462 	2197.4344 	0.0000 	606.0110 	2424.1378 	106.9462 	500.7837 	1126.4642 	1815.1955 	4195.2872 	4970.9414 	2664.9371 	1992.0684 	6163.8967 	3842.2788 	1469.2308 	5102.7692 	12507.2967 	7715.7538 	14070.1539 	2147.1038 	11482.9280 	1404.1538 	6857.2918 	2156.9872 	1148.6038 	10140.9039 	1837.7715 	3407.9138 	6446.2591 	2662.0110 	247.6154 	307.1539 	374.2628 	713.0738 	1090.2591 	3649.2538 	10883.0427 	4277.8811 	703.5128 	4265.0769 	74.7253 	4856.4872 	117.5539 	712.7938 	1884.2271 	3203.4371 	1992.7212 	125.8462 	77.6039 	3380.2967 	1045.4462 	379.6883 	1014.8462 	1972.9038 	3681.7462 	887.5385 	31.5962 	4680.8462 	1752.2350 	476.9158 	2992.7033 	357.8462 	2812.7962 	3968.9712 	5490.3462 	1107.4462 	4611.5462 	5137.4462 	5265.0462 	6067.8462 	6380.1795 	5604.8462 
4	4849.8571 	2803.4454 	606.0110 	0.0000 	3030.1488 	712.9571 	1106.7946 	520.4532 	1209.1845 	3589.2762 	5576.9524 	3270.9481 	2598.0794 	5557.8857 	3236.2679 	2075.2418 	4496.7582 	11901.2857 	7109.7429 	13464.1429 	1541.0929 	10876.9171 	798.1429 	6251.2808 	1550.9762 	542.5929 	9534.8929 	1231.7605 	2801.9029 	5840.2481 	2056.0000 	358.3956 	298.8571 	980.2738 	107.0629 	484.2481 	3043.2429 	10277.0318 	3671.8701 	1309.5238 	4871.0879 	531.2857 	4250.4762 	488.4571 	106.7829 	2490.2381 	3809.4481 	2598.7321 	731.8571 	528.4071 	2774.2857 	1651.4571 	985.6993 	1620.8571 	1366.8929 	4287.7571 	281.5275 	637.6071 	5286.8571 	2358.2460 	129.0953 	3598.7143 	963.8571 	3418.8071 	4574.9821 	6096.3571 	1713.4571 	5217.5571 	5743.4571 	5871.0571 	6673.8571 	6986.1905 	6210.8571 
5	1819.7083 	226.7034 	2424.1378 	3030.1488 	0.0000 	2317.1917 	1923.3542 	3550.6020 	4239.3333 	6619.4250 	2546.8036 	240.7992 	432.0694 	8588.0345 	6266.4167 	954.9071 	7526.9071 	14931.4345 	10139.8917 	16494.2917 	4571.2417 	13907.0659 	3828.2917 	9281.4296 	4581.1250 	3572.7417 	12565.0417 	4261.9093 	5832.0517 	8870.3969 	5086.1488 	2671.7532 	2731.2917 	2049.8750 	3137.2117 	3514.3969 	6073.3917 	13307.1806 	6702.0189 	1720.6250 	1840.9391 	2498.8631 	7280.6250 	2541.6917 	3136.9317 	539.9107 	779.2992 	431.4167 	2298.2917 	2501.7417 	5804.4345 	1378.6917 	2044.4496 	1409.2917 	4397.0417 	1257.6083 	3311.6763 	2392.5417 	2256.7083 	671.9028 	2901.0536 	568.5655 	2066.2917 	388.6583 	1544.8333 	3066.2083 	1316.6917 	2187.4083 	2713.3083 	2840.9083 	3643.7083 	3956.0417 	3180.7083 
6	4136.9000 	2090.4882 	106.9462 	712.9571 	2317.1917 	0.0000 	393.8375 	1233.4103 	1922.1417 	4302.2333 	4863.9952 	2557.9909 	1885.1222 	6270.8429 	3949.2250 	1362.2846 	5209.7154 	12614.2429 	7822.7000 	14177.1000 	2254.0500 	11589.8742 	1511.1000 	6964.2379 	2263.9333 	1255.5500 	10247.8500 	1944.7176 	3514.8600 	6553.2053 	2768.9571 	354.5615 	414.1000 	267.3167 	820.0200 	1197.2053 	3756.2000 	10989.9889 	4384.8273 	596.5667 	4158.1308 	181.6714 	4963.4333 	224.5000 	819.7400 	1777.2810 	3096.4909 	1885.7750 	18.9001 	184.5500 	3487.2429 	938.5000 	272.7421 	907.9000 	2079.8500 	3574.8000 	994.4846 	75.3500 	4573.9000 	1645.2889 	583.8619 	2885.7571 	250.9000 	2705.8500 	3862.0250 	5383.4000 	1000.5000 	4504.6000 	5030.5000 	5158.1000 	5960.9000 	6273.2333 	5497.9000 
7	3743.0625 	1696.6507 	500.7837 	1106.7946 	1923.3542 	393.8375 	0.0000 	1627.2478 	2315.9792 	4696.0708 	4470.1577 	2164.1534 	1491.2847 	6664.6804 	4343.0625 	968.4471 	5603.5529 	13008.0804 	8216.5375 	14570.9375 	2647.8875 	11983.7117 	1904.9375 	7358.0754 	2657.7708 	1649.3875 	10641.6875 	2338.5551 	3908.6975 	6947.0428 	3162.7946 	748.3990 	807.9375 	126.5209 	1213.8575 	1591.0428 	4150.0375 	11383.8264 	4778.6648 	202.7292 	3764.2933 	575.5089 	5357.2708 	618.3375 	1213.5775 	1383.4435 	2702.6534 	1491.9375 	374.9375 	578.3875 	3881.0804 	544.6625 	121.0954 	514.0625 	2473.6875 	3180.9625 	1388.3221 	469.1875 	4180.0625 	1251.4514 	977.6994 	2491.9196 	142.9375 	2312.0125 	3468.1875 	4989.5625 	606.6625 	4110.7625 	4636.6625 	4764.2625 	5567.0625 	5879.3958 	5104.0625 
8	5370.3103 	3323.8986 	1126.4642 	520.4532 	3550.6020 	1233.4103 	1627.2478 	0.0000 	688.7313 	3068.8230 	6097.4056 	3791.4013 	3118.5326 	5037.4325 	2715.8147 	2595.6950 	3976.3050 	11380.8325 	6589.2897 	12943.6897 	1020.6397 	10356.4639 	277.6897 	5730.8276 	1030.5230 	22.1398 	9014.4397 	711.3073 	2281.4497 	5319.7949 	1535.5468 	878.8488 	819.3103 	1500.7270 	413.3903 	36.2051 	2522.7897 	9756.5785 	3151.4169 	1829.9770 	5391.5411 	1051.7389 	3730.0230 	1008.9103 	413.6703 	3010.6913 	4329.9013 	3119.1853 	1252.3103 	1048.8603 	2253.8325 	2171.9103 	1506.1525 	2141.3103 	846.4397 	4808.2103 	238.9257 	1158.0603 	5807.3103 	2878.6992 	649.5484 	4119.1675 	1484.3103 	3939.2603 	5095.4353 	6616.8103 	2233.9103 	5738.0103 	6263.9103 	6391.5103 	7194.3103 	7506.6437 	6731.3103 
9	6059.0417 	4012.6299 	1815.1955 	1209.1845 	4239.3333 	1922.1417 	2315.9792 	688.7313 	0.0000 	2380.0917 	6786.1369 	4480.1326 	3807.2639 	4348.7012 	2027.0833 	3284.4263 	3287.5737 	10692.1012 	5900.5583 	12254.9583 	331.9083 	9667.7325 	411.0417 	5042.0963 	341.7917 	666.5917 	8325.7083 	22.5760 	1592.7183 	4631.0636 	846.8155 	1567.5801 	1508.0417 	2189.4583 	1102.1217 	724.9364 	1834.0583 	9067.8472 	2462.6856 	2518.7083 	6080.2724 	1740.4702 	3041.2917 	1697.6417 	1102.4017 	3699.4226 	5018.6326 	3807.9167 	1941.0417 	1737.5917 	1565.1012 	2860.6417 	2194.8838 	2830.0417 	157.7083 	5496.9417 	927.6571 	1846.7917 	6496.0417 	3567.4306 	1338.2798 	4807.8988 	2173.0417 	4627.9917 	5784.1667 	7305.5417 	2922.6417 	6426.7417 	6952.6417 	7080.2417 	7883.0417 	8195.3750 	7420.0417 
10	8439.1333 	6392.7216 	4195.2872 	3589.2762 	6619.4250 	4302.2333 	4696.0708 	3068.8230 	2380.0917 	0.0000 	9166.2286 	6860.2242 	6187.3556 	1968.6095 	353.0083 	5664.5179 	907.4821 	8312.0095 	3520.4667 	9874.8667 	2048.1833 	7287.6409 	2791.1333 	2662.0046 	2038.3000 	3046.6833 	5945.6167 	2357.5157 	787.3733 	2250.9719 	1533.2762 	3947.6718 	3888.1333 	4569.5500 	3482.2133 	3105.0281 	546.0333 	6687.7556 	82.5940 	4898.8000 	8460.3641 	4120.5619 	661.2000 	4077.7333 	3482.4933 	6079.5143 	7398.7242 	6188.0083 	4321.1333 	4117.6833 	814.9905 	5240.7333 	4574.9754 	5210.1333 	2222.3833 	7877.0333 	3307.7487 	4226.8833 	8876.1333 	5947.5222 	3718.3714 	7187.9905 	4553.1333 	7008.0833 	8164.2583 	9685.6333 	5302.7333 	8806.8333 	9332.7333 	9460.3333 	10263.1333 	10575.4667 	9800.1333 
