# Cluster-median assignment
# Andreu Meca and Jan Leyva

# Number of points
param m := 25;

# Matrix of Euclidean distances
param d : 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25 :=
1	0	0.08797816	0.028187877	0.030725167	0.036131239	0.032722615	0.012852079	0.008264207	0.066672578	0.046475816	0.042030512	0.036775531	0.062723117	0.048239509	0.039569119	0.05352762	0.055416511	0.015420466	0.018502968	0.063075046	0.014677317	0.035232611	0.037231617	0.056042586	0.055815373
2	0.08797816	0	0.089789606	0.077825176	0.052120956	0.071215885	0.099289271	0.081274016	0.035598375	0.048396031	0.059975927	0.071989312	0.094219576	0.08870964	0.091258827	0.041528091	0.053002195	0.103048903	0.093241634	0.026262059	0.073962842	0.065350933	0.055675057	0.045440867	0.032820044
3	0.028187877	0.089789606	0	0.056261342	0.04581022	0.056103562	0.025607682	0.032964774	0.079217406	0.060990428	0.031025785	0.01957611	0.035189557	0.020968427	0.011482098	0.066250759	0.073474278	0.036211497	0.046642003	0.069512312	0.026644842	0.05636879	0.053065722	0.071240724	0.06247586
4	0.030725167	0.077825176	0.056261342	0	0.031492736	0.006618376	0.042292418	0.023639303	0.047182186	0.029463561	0.055359746	0.056625911	0.0875333	0.07348753	0.066691975	0.036667151	0.030921636	0.037951615	0.020350934	0.051691394	0.030857818	0.012481094	0.022877872	0.035214609	0.046048687
5	0.036131239	0.052120956	0.04581022	0.031492736	0	0.02602761	0.048097815	0.029158243	0.033469328	0.015942216	0.028785553	0.035489584	0.067162071	0.055248205	0.052337136	0.020444869	0.029808018	0.050979593	0.042114567	0.026956442	0.023069004	0.021548271	0.011311725	0.025889635	0.019684236
6	0.032722615	0.071215885	0.056103562	0.006618376	0.02602761	0	0.045056938	0.024848328	0.040802401	0.022845801	0.051647587	0.054193951	0.085725933	0.072012314	0.06595468	0.030060315	0.025158002	0.042079236	0.02562022	0.045104415	0.029744359	0.005865469	0.016577017	0.02885367	0.03956538
7	0.012852079	0.099289271	0.025607682	0.042292418	0.048097815	0.045056938	0	0.021104598	0.07939735	0.05923411	0.048475373	0.040388498	0.060547618	0.046537496	0.036695851	0.066195252	0.068235286	0.010749193	0.025804711	0.075009418	0.025344821	0.047933454	0.050008515	0.068873377	0.067687272
8	0.008264207	0.081274016	0.032964774	0.023639303	0.029158243	0.024848328	0.021104598	0	0.058639396	0.038420936	0.040128053	0.037268724	0.065943319	0.051548033	0.043838428	0.045583242	0.047152972	0.021875129	0.017012545	0.055894866	0.011300208	0.027034936	0.029165302	0.047862633	0.048738967
9	0.066672578	0.035598375	0.079217406	0.047182186	0.033469328	0.040802401	0.07939735	0.058639396	0	0.020219617	0.057241455	0.066853454	0.096781968	0.086575327	0.085044883	0.013310233	0.018100209	0.079833602	0.065819965	0.017354528	0.055703021	0.035309446	0.029474763	0.011968044	0.020256335
10	0.046475816	0.048396031	0.060990428	0.029463561	0.015942216	0.022845801	0.05923411	0.038420936	0.020219617	0	0.044025746	0.051414718	0.082959531	0.071189108	0.068109989	0.007518193	0.01414713	0.059681228	0.04643091	0.02244045	0.036109836	0.016983117	0.009255638	0.010261177	0.017795644
11	0.042030512	0.059975927	0.031025785	0.055359746	0.028785553	0.051647587	0.048475373	0.040128053	0.057241455	0.044025746	0	0.012057658	0.039578661	0.029995544	0.031289669	0.046287685	0.05816627	0.056490653	0.057103874	0.043485708	0.028834392	0.048653102	0.039872654	0.053016437	0.037574292
12	0.036775531	0.071989312	0.01957611	0.056625911	0.035489584	0.054193951	0.040388498	0.037268724	0.066853454	0.051414718	0.012057658	0	0.032004726	0.019842503	0.019371631	0.05494779	0.065254278	0.049643045	0.053984328	0.054389823	0.026571829	0.052403792	0.045517439	0.061137548	0.047985746
13	0.062723117	0.094219576	0.035189557	0.0875333	0.067162071	0.085725933	0.060547618	0.065943319	0.096781968	0.082959531	0.039578661	0.032004726	0	0.014486986	0.023855538	0.085780087	0.09696549	0.071260037	0.081193747	0.082312593	0.056708501	0.084283856	0.077478123	0.092351995	0.07690101
14	0.048239509	0.08870964	0.020968427	0.07348753	0.055248205	0.072012314	0.046537496	0.051548033	0.086575327	0.071189108	0.029995544	0.019842503	0.014486986	0	0.01015377	0.07478483	0.084929791	0.057176104	0.066706876	0.0734616	0.042631018	0.070950369	0.064945448	0.080968631	0.0673698
15	0.039569119	0.091258827	0.011482098	0.066691975	0.052337136	0.06595468	0.036695851	0.043838428	0.085044883	0.068109989	0.031289669	0.019371631	0.023855538	0.01015377	0	0.07257355	0.081318122	0.047404501	0.058057533	0.073484429	0.036210401	0.06560592	0.060951063	0.078211088	0.066864915
16	0.05352762	0.041528091	0.066250759	0.036667151	0.020444869	0.030060315	0.066195252	0.045583242	0.013310233	0.007518193	0.046287685	0.05494779	0.085780087	0.07478483	0.07257355	0	0.01471379	0.067023665	0.053947827	0.016285624	0.042395937	0.024236723	0.016539339	0.007289072	0.013619502
